infinitif;preterit;past perfect;francais
awake;awoke;awoken;se reveiller
bear;bore;borne;supporter
beat;beat;beaten;battre
become;became;become;devenir
begin;began;begun;commencer
bend;bent;bent;se courber
bet;bet;bet;parier
bid;bid;bid;offrir
bind;bound;bound;relier
bite;bit;bitten;mordre
bleed;bled;bled;saigner
blow;blew;blown;souffler
break;broke;broken;casser
breed;bred;bred;elever
bring;brought;brought;apporter
build;built;built;construire
burn;burnt;burnt;bruler
burst;burst;burst;eclater
buy;bought;bought;acheter
cast;cast;cast;jeter
catch;caught;caught;attraper
choose;chose;chosen;choisir
cling;clung;clung;s'accrocher
come;came;come;venir
cost;cost;cost;couter
creep;crept;crept;ramper
cut;cut;cut;couper
deal;dealt;dealt;distribuer
dig;dig;dig;creuser
do;did;done;faire
draw;drew;drawn;dessiner
dream;dreamt;dreamt;rever
drink;drank;drunk;boire
drive;drove;driven;conduire
dwell;dwelt;dwelt;habiter
eat;ate;eaten;manger
fall;fell;fallen;tomber
feed;fed;fed;nourrir
feel;felt;felt;eprouver
fight;fought;fought;combattre
find;found;found;trouver
flee;fled;fled;s'enfuir
fling;flung;flung;jeter
fly;flew;flown;voler
forbid;forbade;forbidden;interdire
forget;forgot;forgotten;oublier
forgive;forgave;forgiven;pardonner
freeze;froze;frozen;geler
get;got;got;obtenir
give;gave;given;donner
go;went;gone;aller
grind;ground;ground;moudre
grow;grew;grown;grandir
hang;hung;hung;pendre
have;had;had;avoir
hear;heard;heard;entendre
hide;hid;hidden;se cacher
hit;hit;hit;frapper
hold;held;held;tenir
hurt;hurt;hurt;blesser
keep;kept;kept;garder
kneel;knelt;knelt;s'agenouiller
know;knew;known;connaitre
lay;laid;laid;poser a plat
lead;led;led;mener
lean;leant;leant;s'appuyer
leap;lept;leapt;sauter
learn;learnt;learnt;apprendre
leave;left;left;quitter
lend;lent;lent;preter
let;let;let;permettre
lie;lay;lain;etre etendu
light;lit;lit;allumer
lose;lost;lost;perdre
make;made;made;faire
mean;meant;meant;signifier
meet;met;met;se rencontrer
pay;paid;paid;payer
put;put;put;mettre
quit;quit;quit;cesser
read;read;read;lire
rid;rid;rid;se debarrasser
ride;rode;ridden;chevaucher
ring;rang;rung;sonner
rise;rose;risen;s'elever
run;ran;run;courir
saw;sawed;sawn;scier
say;said;said;dire
see;saw;seen;voir
seek;sought;sought;chercher
sell;sold;sold;vendre
send;sent;sent;envoyer
set;set;set;fixer
sew;sewed;sewn;coudre
shake;shook;shaken;secouer
shear;sheared;shorn;tondre
shed;shed;shed;verser
shine;shone;shone;briller
shoe;shod;shod;ferrer
shoot;shot;shot;tirer
show;showed;shown;montrer
shrink;shrank;shrunk;retrecir
shut;shut;shut;fermer
sing;sang;sung;chanter
sink;sank;sunk;couler
sit;sat;sat;etre assis
sleep;slept;slept;dormir
slide;slid;slid;glisser
sling;slung;slung;lancer
slink;slunk;slunk;aller
slit;slit;slit;fendre
smell;smelt;smelt;sentir
sow;sowed;sown;semer
speak;spoke;spoken;parler
speed;sped;sped;aller
spell;spelt;spelt;epeler
spend;spent;spent;depenser
spill;spilt;spilt;renverser
spit;spat;spat;cracher
split;split;split;fendre
spoil;spoilt;spoilt;gacher
spread;spread;spread;repandre
spring;sprang;sprung;jaillir
stand;stood;stood;etre debout
steal;stole;stolen;voler
stick;stuck;stuck;coller
sting;stung;stung;piquer
stink;stank;stunk;puer
stride;strode;stridden;marcher
strike;struck;struck;frapper
string;strung;strung;enfiler
strive;strove;striven;s'efforcer
swear;swore;sworn;jurer
sweep;swept;swept;balayer
swell;swelled;swollen;enfler
swim;swam;swum;nager
swing;swung;swung;se balancer
take;took;taken;prendre
teach;taught;taught;enseigner
tear;tore;torn;dechirer
tell;told;told;dire
think;thought;thought;penser
throw;threw;thrown;jeter
thrust;thrust;thrust;enfoncer
tread;trod;trodden;fouler
understand;understood;understood;comprendre
wake;woke;woken;se reveiller
wear;wore;worn;porter
weave;wove;woven;tisser
weep;wept;wept;pleurer
win;won;won;gagner
wind;wound;wound;enrouler
wring;wrung;wrung;tordre
write;wrote;wrote;ecrire
